Date,HH:MM,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2013/1/1,01:00,-7.6,-13.2,61,94120,0,9999,211,0,0,0,0,0,0,9999,290,10.3,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,02:00,-3.6,-9.4,61,93910,0,9999,228,0,0,0,0,0,0,9999,300,10.3,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,03:00,-1,-6.8,61,93780,0,9999,239,0,0,0,0,0,0,9999,290,9.2,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,04:00,0.2,-5.5,62,93750,0,9999,268,0,0,0,0,0,0,9999,300,9.2,8,8,15,1620,9,'00000000,0,0,1,88,999,999,99
2013/1/1,05:00,0.5,-4.9,64,93760,0,9999,284,0,0,0,0,0,0,9999,290,10.3,10,10,15,1290,9,'00000000,0,0,1,88,999,999,99
2013/1/1,06:00,1,-4.3,65,93770,0,9999,286,0,0,0,0,0,0,9999,290,9.2,10,10,15,1860,9,'00000000,0,0,1,88,999,999,99
2013/1/1,07:00,0.2,-5,65,93840,0,9999,282,0,0,0,0,0,0,9999,280,7.2,10,10,15,1680,9,'00000000,0,0,1,88,999,999,99
2013/1/1,08:00,-0.5,-5.8,64,93860,0,9999,252,0,0,0,0,0,0,9999,280,7.8,3,3,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,09:00,-0.6,-7.1,58,93890,0,9999,252,0,0,0,0,0,0,9999,280,6.1,4,4,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,10:00,-0.6,-7.5,56,93950,82,9999,240,20,157,10,2,6,1,9999,280,6.1,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,11:00,-0.2,-7.4,54,93970,209,9999,241,120,610,29,11,48,4,9999,280,6.7,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,12:00,-0.3,-7.1,56,94010,292,9999,241,199,727,47,20,64,6,9999,290,7.8,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,13:00,-0.3,-7.1,56,94050,324,9999,241,231,761,55,23,70,7,9999,290,6.1,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,14:00,-0.2,-6.9,57,94090,304,9999,242,211,739,50,21,67,7,9999,280,6.1,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,15:00,-0.2,-7.3,55,94120,233,9999,241,141,644,34,13,52,4,9999,290,5.6,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
2013/1/1,16:00,-0.7,-7.9,54,94150,115,9999,239,43,397,10,3,19,1,9999,270,6.1,0,0,15,77770,9,'00000000,0,0,1,88,999,999,99
