address,total_accuracy,gas_consumption,hot_water_gas,estimated_effciency,Effciency Issue Detection1,Effciency Issue Detection2,Effciency Issue Detection3,Effciency Issue Detection4,eff
1 Bluejay Crescent,-5.794620725286363,37.533557964407365,6.716138534307726,0.8119693072150387,Minor Air Leakage Issue,,Wall Insulation less than R20,Roof Insulation less than R40,0.8119693072150387
1 Canary Crescent,-19.196465055266252,53.55166729770242,1.4689035159942534,0.6314238404143947,Wall Insulation less than R15,Ineffcient Furnace-80% AFUE,Minor Air Leakage,Roof Insulation less than R30,0.6314238404143947
1 McLean Crescent West,-17.90734548543557,46.82216574347787,3.8362713398439507,0.5834134491354976,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.5834134491354976
1 Meadowlark Drive,-36.571469447460714,62.7454933647416,2.1781723974199845,0.39618479299765597,Wall Insulation less than R10,Roof Insulation less than R10,"Ineffcient Furance, 75% AFUE",Signifcant Air Leakage Issue,0.39618479299765597
10 Canary Crescent,-0.7319080905039432,40.850917885503975,2.722557737271585,0.9808041025719835,Minor Air Leakage Issue,,Wall Insulation less than R20,Roof Insulation less than R40,0.9808041025719835
10 Mackenzie Drive,-21.187777146230147,60.75507741208363,10.136727697520149,0.5814210209201234,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.5814210209201234
10 McLean Crescent West,-26.813258767167902,53.45688558567109,3.17850855200237,0.4667039719835724,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.4667039719835724
11 Bluejay Crescent,-21.3014034213997,52.79341360145177,3.3139715924344104,0.5694898212975474,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.5694898212975474
11 Canary Crescent,-5.796559649228256,42.462206990036606,6.385899245975703,0.8393250304229783,Minor Air Leakage Issue,,Wall Insulation less than R20,Roof Insulation less than R40,0.8393250304229783
11 McLean Crescent West,-34.403262240401745,65.96807157380688,6.337654724445807,0.42305849836147225,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.42305849836147225
12 Bluejay Crescent,-4.040021947524999,35.44836029971806,5.310777325117162,0.8659473803546285,Minor Air Leakage Issue,,Wall Insulation less than R20,Roof Insulation less than R40,0.8659473803546285
12 Canary Crescent,2.320972598458688,30.519711274088813,3.134128704197493,1.084751624053835,"Building is up to Energy Effcient Code, or not in use",,,,1.084751624053835
12 Mackenzie Drive,-16.14153128112011,45.49522177503923,5.166774665230667,0.599748256183308,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.599748256183308
12 McLean Crescent West,-19.997223719210645,47.58041943972852,2.356041111558551,0.5578220318673899,Significant Air Leakage Issue,Wall Insulation less than R12,"Ineffcient Furance, 75% AFUE",Roof Insulation less than R20,0.5578220318673899
13 Mackenzie Drive,-2.456510777935881,31.372746682370796,1.9333890046641817,0.9165569166002521,Minor Air Leakage Issue,,Wall Insulation less than R20,Roof Insulation less than R40,0.9165569166002521
