company,plan_details1,plan_details2,contract_details1,contract_details2,rates,total_rate
ATCOenergy,1-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,1-year contract,Early Exit Fee: No,3.960,7.739904472427268
ATCOenergy,2-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,2-year contract,Early Exit Fee: No,3.960,7.739904472427268
ATCOenergy,3-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,3-year contract,Early Exit Fee: No,3.960,7.739904472427268
Wholesale Power,Variable Wholesale Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.550,6.925019425019426
E.NRG Power Ltd.,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.770,6.7685589519650655
UTILITYNet,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.810,6.739767463843463
Brighter Futures Energy Inc.,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.820,6.706170052671181
Bow Valley Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.020,6.519155161378806
Get Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.080,6.5001367490199655
Foothills Energy Co-op,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.4280562567616295
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.4205312922107165
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.4205312922107165
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.396339822373733
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.393472022955524
Solarmax Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.390606793941024
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.190,6.389461421274308
Adagio Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.378600823045267
Fluent Utilities,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.220,6.333836723816292
