company,plan_details1,plan_details2,contract_details1,contract_details2,rates,total_rate
ATCOenergy,1-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,1-year contract,Early Exit Fee: No,3.960,5.353656705210993
ATCOenergy,2-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,2-year contract,Early Exit Fee: No,3.960,5.353656705210993
ATCOenergy,3-Year ATCO Advantage Plan (Electricity),Variable Rate Plan,3-year contract,Early Exit Fee: No,3.960,5.353656705210993
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate Plan,1-year contract,Early Exit Fee: Yes,5.590,5.241490847607145
Ambit Energy Canada,Alberta Select 24-Month Term,Fixed Rate Plan,2-year contract,Early Exit Fee: Yes,6.300,5.044573369180699
XOOM Energy Canada,SureLock 24,Fixed Rate Plan,2-year contract,Early Exit Fee: Yes,6.090,5.031402159339496
Ambit Energy Canada,Alberta Select 36-Month Term,Fixed Rate Plan,3-year contract,Early Exit Fee: Yes,6.500,4.99194847020934
Wholesale Power,Variable Wholesale Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.570,4.945207379664308
EPCOR Energy Alberta GP Inc.,December Regulated Rate Option - Outside Edmonton,Regulated Rate Plan,No Term,Early Exit Fee: No,6.716,4.889589905362776
E.NRG Power Ltd.,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.785,4.8668941979522184
UTILITYNet,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.825,4.851660315732172
Brighter Futures Energy Inc.,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.835,4.8338983050847455
Bow Valley Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.035,4.736282715557327
Get Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.095,4.726236245525652
Foothills Energy Co-op,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.235,4.687705456936226
Sandstone Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.235,4.684009985547235
Vector Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.235,4.684009985547235
Spot Power,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.230,4.672346002621232
Alberta Utility Source,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.195,4.66928618205632
Echo Energy,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,5.235,4.66928618205632
UTILITYNet,Variable Electricity Rate,Variable Rate Plan,No Term,Early Exit Fee: No,4.825,4.851660315732172
