Retailer,Plan Details,Pricing,Contract Length,Early Exit Fee,Retail Admin Fee,Retail Admin Fee Structure,Retailer Charge,Retailer Charge Structure,Variable Distribution,Fixed Distribution,Variable Transmission,Balancing Pool Rider,Per KwH rate Rider,Transmission Rate Rider,Local Access Fee,
Ambit Energy Canada,Alberta Select 12-Month Term,Fixed Rate,1 Year Contract,75.00000,5.00000,Per Month,5.59000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Ambit Energy Canada,Alberta Select 24-Month Term,Fixed Rate,2 Year Contract,100.00000,5.00000,Per Month,6.30000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Wholesale Power,3 Year Fixed Discount Rate,Fixed Rate,3 Year Contract,0.00000,6.50000,Per Month,6.08000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Foothills Energy Co-op,1 Year Discount Rate,Fixed Rate,1 Year Contract,0.00000,5.38000,Per Month,6.35000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Foothills Energy Co-op,3 Year Senior Discount Rate,Fixed Rate,3 Year Contract,0.00000,5.38000,Per Month,6.35000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Ambit Energy Canada,Alberta Select 36-Month Term,Fixed Rate,3 Year Contract,125.00000,5.00000,Per Month,6.50000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Camrose Energy,Discount Rate 2023,Fixed Rate,3 Year Contract,0.00000,5.90000,Per Month,6.40000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Get Energy,Flex 1 Discount Rate,Fixed Rate,1 Year Contract,0.00000,5.99000,Per Month,6.39000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Sandstone Energy,Flexi1 Discount Rate,Fixed Rate,1 Year Contract,0.00000,5.50000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Sandstone Energy,Flexi3 Senior Discount Rate,Fixed Rate,3 Year Contract,0.00000,5.50000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Solarmax Power,1 Year Green Fixed Rate (+30% Green),Fixed Rate,1 Year Contract,0.00000,6.00000,Per Month,6.40000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Solarmax Power,3 Year Green Fixed Rate (+30% Green),Fixed Rate,3 Year Contract,0.00000,6.00000,Per Month,6.40000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Foothills Energy Co-op,1 Year Base Rate,Fixed Rate,1 Year Contract,0.00000,5.38000,Per Month,6.55000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Foothills Energy Co-op,3 Year Discount Rate,Fixed Rate,3 Year Contract,0.00000,5.38000,Per Month,6.55000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
UTILITYNet,Flexi1 Discount Rate,Fixed Rate,1 Year Contract,0.00000,5.75000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
UTILITYNet,Flexi3 Senior Discount Rate,Fixed Rate,3 Year Contract,0.00000,5.75000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
E.NRG Power Ltd.,Flexi1 Discount Rate,Fixed Rate,1 Year Contract,0.00000,5.90000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
E.NRG Power Ltd.,Flexi3 Senior Discount Rate,Fixed Rate,3 Year Contract,0.00000,5.90000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Spot Power,Flexi1 Discount Rate,Fixed Rate,1 Year Contract,0.00000,5.90000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Spot Power,Flexi3 Senior Discount Rate,Fixed Rate,3 Year Contract,0.00000,5.90000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
Echo Energy,1 Year Super Saver Rate,Fixed Rate,1 Year Contract,0.00000,5.95000,Per Month,6.49000,Per kWh,2.30000,0.82000,3.97000,0.26000,0.62000,0.01830,5.70000,
