ADDRESS,BLDG_DESC,YEAR_BUILT,BLDG_FEET,LATITUDE,LONGITUDE
4502 47 Avenue,1 Storey & Basement,1947,1451.389947,52.7719046,-111.6892761
1 Birch Street,1 Storey Basementless,2004,3138.402457,52.7715786,-111.6858444
5201 51 Avenue,1 Storey & Basement,1946,1687.978336,52.7779519,-111.689528
5103 51 Avenue,1 Storey & Basement,1974,2059.998006,52.7779519,-111.689528
5003 51 Avenue,2 Storey & Basement,2003,2875.997217,52.7786463,-111.698384
5007 53A Street,1 Storey Basementless,2008,3879.856245,52.7768437,-111.7029976
5005 53A Street,Basement,1982,1408.99451,52.7768437,-111.7029976
4829 53 Street,1 Storey & Basement,1963,1320.73053,52.7754885,-111.701794
5001 53A Street,1 3/4 Storey & Basement,1921,1486.49459,52.7768437,-111.7029976
4602 47 Avenue,1 Storey & Basement,1944,870.79951,52.7717043,-111.6913518
4604 47 Avenue,1 Storey Basementless,1950,985.97324,52.7718681,-111.6931806
4820 46 Street,1 Storey & Basement,1940,666.28541,52.7749846,-111.6900703
4802 46 Street,1 1/2 Storey & Basement,1945,1692.300358,52.7749846,-111.6900703
4906 46 Street,1 Storey & Basement,1978,1833.09217,52.7756958,-111.6898578
4806 46A Street,1 Storey & Basement,2014,2444.997634,52.77371,-111.6901565
4814 46A Street,1 Storey & Basement,1996,1555.38355,52.7742483,-111.6898533
4818 46A Street,Split Entry,1991,1626.42529,52.7744988,-111.6899201
4821 53 Street,1 Storey & Basement,1990,1639.34197,52.7749126,-111.7019597
4817 53 Street,Foundation - Basementless,1993,1418.68202,52.7743873,-111.7020419
4825 53 Street,2 Storey Basementless,1991,1635.03641,52.7751669,-111.7020161
4826 49 Street,1 Storey & Basement,1948,809.44528,52.7750951,-111.6948253
4818 49 Street,1 Storey & Basement,1950,839.5842,52.7749025,-111.6948728
4814 49 Street,1 Storey & Basement,1935,970.90378,52.7748098,-111.6949399
4719 48 Avenue,1 Storey & Basement,1959,1247.998792,52.7738223,-111.6934749
4719 48 Ave,Foundationless,1978,599.9994194,52.7738223,-111.6934749
4813 46 Street,1 Storey & Basement,1953,1043.02191,52.7744124,-111.6909288
4825 46 Street,1 Storey Basementless,1929,800.83416,52.7748261,-111.6909607
4970 47 Street,1 Storey & Basement,1951,1061.998972,52.7764283,-111.6913032
4958 47 Street,1 Storey & Basement,1955,959.06349,52.7761762,-111.691398
4934 47 Street,1 Storey & Basement,1946,1513.40434,52.7756801,-111.691682
4918 47 Street,1 3/4 Storey & Basement,1912,1244.952674,52.775485,-111.691645
4901 46 Street,1 1/2 Storey & Basement,1912,1666.036442,52.7754102,-111.6909138
